Heart rate 
77
89
75
114
93
98
96
102
82
83
65
95
93
85
79
110
95
84
93
84
80
79
83
94
97
77
97
78
77
95
89
81
79
97
86
80
87
78
81
85
77
70
91
96
95
76
90
77
74
84
87
108
115
105
97
86
104
90
91
88
91
87
96
96
102
101
96
78
93
98
92
90
92
103
97
92
107
98
100
84
86
91
84
87
87
103
84
89
94
78
67
102
99
82
90
73
86
80
91
89
96
85
72
97
77
106
83
67
89
79
105
87
90
95
77
103
101
82
76
83
84
82
97
95
93
104
75
124
113
68
75
76
101
73
104
97
97
91
86
84
101
87
88
73
94
77
67
108
86
104
92
94
87
73
94
78
88
97
90
109
83
104
100
94
95
69
96
80
94
89
90
66
84
75
63
118
83
93
88
95
100
83
94
98
86
91
72
96
89
96
88
79
99
82
61
82
93
101
80
